"Digital Catalog Agent - Conceptual Understanding Quiz","Educational quiz testing WHY and HOW, not just WHAT - designed to teach while testing","Deep Learning","medium",40
"Type","Question","Opt1","Opt2","Opt3","Opt4","Correct"
"mcq","Why limit image uploads to 5MB?","Random limit","Balance between quality and storage costs, prevents abuse","Server limitation","Database constraint",1
"mcq","Why use Base64 encoding for images?","It's standard","Embeds images directly in database without external file storage","Smaller size","Faster loading",1
"mcq","Why support 5 different export formats instead of just one CSV?","More features","Each platform (Amazon, Flipkart, Google) requires specific column formats","Looks impressive","User requested",1
"mcq","What business problem does Shopify Auto-Sync solve?","None","Merchants can sell both on their catalog site AND Shopify without double entry","Faster uploads","Free hosting",1
"mcq","Why trigger Shopify sync on product creation automatically?","Automation is cool","Real-time inventory sync prevents overselling and outdated listings","Saves clicks","Database requirement",1
"mcq","Why use fuzzy matching for voice product search?","Sounds cool","STT errors mean exact search fails, fuzzy matching handles typos","Faster search","Better UX",1
"mcq","Why implement local command translation arrays instead of AI?","Faster","Instant navigation without API latency, works offline","Cheaper","Easier code",1
"mcq","What problem does the useVoiceCommands hook solve?","Code organization","Centralizes voice logic, reusable across all pages","Looks professional","Faster loading",1
"mcq","Why support Hinglish and Tanglish mixing?","Fun feature","Real Indian users naturally mix languages, ignoring this breaks UX","AI limitation","Regional preference",1
"boolean","Cascade deletion prevents orphaned data in the database","True"
"boolean","Storing passwords in plain text is secure if the database has a firewall","False"
"boolean","Using JWT means we must store session data on the server","False"
"boolean","Base64 encoding compresses images to save storage space","False"
"boolean","Web Speech API requires an internet connection to work","False"
"boolean","Supporting multiple languages increases the app's potential user base","True"
"boolean","AI fallback mechanisms improve application reliability","True"
"short","What is the main advantage of voice-first design for low-literacy users?","They can speak naturally without typing"
"short","Why is Prisma considered type-safe?","Generates TypeScript types from schema"
"short","What does normalization achieve in database design?","Reduces data redundancy"
"short","Why use environment variables for API keys?","Security - prevents exposing secrets in code"
"short","What problem does connection pooling solve?","Reuses database connections for better performance"
"short","Why is Row Level Security important in multi-tenant apps?","Ensures users only access their own data"
"short","What is the purpose of the cleanAiResponse function?","Remove LLM artifacts from customer-facing text"
"mcq","Why implement authentication middleware for product APIs?","Looks professional","Prevents unauthorized users from accessing/modifying others' products","Required by Express","Database requirement",1
"mcq","What advantage does serverless deployment on Vercel provide?","Cheaper hosting","Auto-scales with traffic, pay only for actual usage","Faster servers","Easier setup",1
